Handle,Wallet,Balance_SOL,Tx_Count,Wallet_Created,Holds_Token,RiskScore,RiskLevel,Verified,Timestamp,Comment,Reasons
@cheesetiano,HW6Rbhu14i6fE88RoqhHQq7SPFj2C6jvtzs3UtLzKzwj,0.0000,100,2025-09-20 05:24:14,No,0,LOW,True,2026-08-11 17:09:00,That’s so rad of you   HW6Rbhu14i6fE88RoqhHQq7SPFj2C6jvtzs3UtLzKzwj,Verified account
@dagecrypto,87ioPtFcvoLwCVmoxxsgEtykKiATcngHZd9uNC3g3qYz,0.1652,32,2026-07-12 03:31:02,Yes,0,LOW,True,2026-08-11 17:14:00,I would be kinda chic if I held 1000 $ANSEM   87ioPtFcvoLwCVmoxxsgEtykKiATcngHZd9uNC3g3qYz,Verified account
@organicryptoyyc,C4ywHK4KzM3acJv7igwfk4ddi77oUhBinZ2N8tuVEk1z,0.0031,3,2026-07-05 21:38:00,Yes,0,LOW,True,2026-08-12 01:43:00,C4ywHK4KzM3acJv7igwfk4ddi77oUhBinZ2N8tuVEk1z Gave ya a follow fren,Verified account
@silentmonrch,44h6hZN9a5HimACyCTVc4fgDZctVGosEAbTvk5ptrCQU,0.0000,51,2026-01-29 15:11:23,No,0,LOW,True,2026-08-11 17:03:00,Is a newbie Eligible to hold $ANSEM?   44h6hZN9a5HimACyCTVc4fgDZctVGosEAbTvk5ptrCQU,Verified account
@Aventis7,7LE6tF5jAwX8C5fYQNWPZXzZcWbzToCoMczHFHstqD4M,0.0019,100,2024-04-02 15:50:37,No,0,LOW,True,2026-08-11 20:19:00,7LE6tF5jAwX8C5fYQNWPZXzZcWbzToCoMczHFHstqD4M,Verified account
@Browmsky,EJMnF5MMkVqTA2f64biCPE8LwMMpWYgarLsjr9jm74e9,0.0000,71,2026-02-10 14:28:01,No,0,LOW,True,2026-08-11 16:58:00,"imagineeeee, I'll keep dreaming   EJMnF5MMkVqTA2f64biCPE8LwMMpWYgarLsjr9jm74e9",Verified account
@FridjofMenting,7vfk4zN8zTvUs9kdartXLJywNTL3WaSvjHF1aL2f2mkt,0.3622,100,2026-07-10 08:17:32,Yes,0,LOW,True,2026-08-11 16:50:00,7vfk4zN8zTvUs9kdartXLJywNTL3WaSvjHF1aL2f2mkt $ANSEM time,Verified account
@Lingard010,FFAq76erc5eBK4peZKjFjJwV5DHpFUjxVF5L2BdRBNQ3,0.0010,6,2026-07-16 17:57:16,No,0,LOW,True,2026-08-11 16:46:00,"If luck is a numbers game, I’m definitely putting in the reps  FFAq76erc5eBK4peZKjFjJwV5DHpFUjxVF5L2BdRBNQ3",Verified account
@dasaniCR,EowmiXvP33byMSYHuvp35sNCUbWhn2XgQoV99j4qGJvq,0.0010,100,2026-08-03 23:32:44,No,0,LOW,False,2026-08-11 16:51:00,EowmiXvP33byMSYHuvp35sNCUbWhn2XgQoV99j4qGJvq,
@bhanupartapsinh,BhR4H3Lm1P3ZtEvk4HsBcs5baUJCCVhbCPB9a716ZPue,0.0000,3,2026-07-06 00:50:42,No,0,LOW,False,2026-08-11 17:03:00,Hoping BhR4H3Lm1P3ZtEvk4HsBcs5baUJCCVhbCPB9a716ZPue,
@starnutss,HGR14kfumxaqNXUM2Kp2e2G47HFSjT45pXHCpsiy1dtc,0.0000,100,2025-03-15 01:07:03,No,0,LOW,True,2026-08-11 17:08:00,thank you goat  HGR14kfumxaqNXUM2Kp2e2G47HFSjT45pXHCpsiy1dtc  Never held any ansem,Verified account
@Willlyy11,7Vk43bDRWduxfK5Mpx6LR8a3fV2TjY86DPD7SRRHu94Z,0.0010,100,2025-10-23 07:02:25,No,0,LOW,True,2026-08-11 17:07:00,7Vk43bDRWduxfK5Mpx6LR8a3fV2TjY86DPD7SRRHu94Z   Thank you Rad,Verified account
@Belloagain,EpW3xpQ73UjdkTuc1S8n2UwUsTxyEJPzKvQ1fAJ4ztwK,0.0000,100,2025-06-05 03:00:59,Yes,0,LOW,True,2026-08-11 20:25:00,Didn't get any airdrop from Ansem  Maybe you'd make my wish come true   EpW3xpQ73UjdkTuc1S8n2UwUsTxyEJPzKvQ1fAJ4ztwK,Verified account
@Nybuzi,3eR5fGhimtPoykjuJmyqgGiH9uPivS8EXFnA3tduPsDZ,0.0000,4,2026-04-15 03:30:46,No,0,LOW,True,2026-08-11 17:09:00,3eR5fGhimtPoykjuJmyqgGiH9uPivS8EXFnA3tduPsDZ,Verified account
@siennapo1,J7o1vryhC4d9gHVFkspjsBGuSpgytNkvEtDt26LLpCiZ,0.0000,5,2026-05-06 12:29:23,No,0,LOW,False,2026-08-11 17:46:00,Waking up every day like:  “Please God… let today be the day I finally win   J7o1vryhC4d9gHVFkspjsBGuSpgytNkvEtDt26LLpCiZ,
@Vickysolarchive,A6zwfSa9NhCWCdfc3JpvsvCy4rhzpEzMw4gnjaQCmoE7,0.0000,100,2026-04-27 01:38:40,No,0,LOW,True,2026-08-11 16:38:00,A6zwfSa9NhCWCdfc3JpvsvCy4rhzpEzMw4gnjaQCmoE7   Thank you so much❤️,Verified account
@____danerous__,AEfRQFaUjoYit274CrdGT5dpw6jcu7VojLEaCewpRYHM,0.0014,62,2025-11-19 13:28:40,No,0,LOW,False,2026-08-11 17:26:00,AEfRQFaUjoYit274CrdGT5dpw6jcu7VojLEaCewpRYHM  Thanks legend 🙏 🙌🏾,
@mastaeagle,3jWxWgXDnWA8dazRkaLQAJaNDsyAEMB1EycNKb6g6NNC,0.0151,100,2026-02-22 11:38:51,No,0,LOW,True,2026-08-11 17:09:00,3jWxWgXDnWA8dazRkaLQAJaNDsyAEMB1EycNKb6g6NNC,Verified account
@whuttttzzz,KeedNxkMGYYmWiabStWmkrnaG6CR12xjZNY2QZEETp9,0.0050,20,2026-01-09 08:51:08,No,0,LOW,True,2026-08-11 17:35:00,KeedNxkMGYYmWiabStWmkrnaG6CR12xjZNY2QZEETp9,Verified account
@Syntheraioyv,AFHwcq6r8AVhNaJkbPvEneFZpPt9GApBYkxQkN7Fhju9,0.0167,100,2026-03-12 14:13:57,No,0,LOW,True,2026-08-11 21:34:00,For real?  AFHwcq6r8AVhNaJkbPvEneFZpPt9GApBYkxQkN7Fhju9,Verified account
@Saouristas2024,CPRhxMgjw1ouMjXCcZN8cP7nvwKenHWvL547HxutHJmS,0.0000,0,Unknown,Not Checked,0,LOW,False,2026-08-11 21:36:00,CPRhxMgjw1ouMjXCcZN8cP7nvwKenHWvL547HxutHJmS,
@afeez_olabisi,A3vbusS75GDVWM9qecsNwHn6wkhip3gST21YwLty3oRB,0.0000,0,Unknown,Not Checked,0,LOW,True,2026-08-11 17:12:00,"A3vbusS75GDVWM9qecsNwHn6wkhip3gST21YwLty3oRB  Thanks in anticipation, Rad. 🙏",Verified account
@i_amkingdavo,DXg8PuQwnUF5Y7PWhmMoR6k793Vn1bHccyvP5B8izfdy,0.0050,3,2026-01-30 08:50:10,No,0,LOW,True,2026-08-11 17:12:00,DXg8PuQwnUF5Y7PWhmMoR6k793Vn1bHccyvP5B8izfdy  Thank you Rad <3,Verified account
@BlakStatus,AuRqSebv5hSFgKQkiqhHkBzbqQ1B6BbqrsfMYVgq4zp1,0.0000,0,Unknown,No,0,LOW,False,2026-08-11 17:29:00,AuRqSebv5hSFgKQkiqhHkBzbqQ1B6BbqrsfMYVgq4zp1  Thanks man🫡 Really appreciate,
@rockergandalf,5ABzq6UCuj4x2WecA6XbJhKiYugLMABnPsjdTzBAGWTR,0.1565,100,2026-03-14 15:04:14,No,0,LOW,True,2026-08-11 17:30:00,I'd love to begin my $ANSEM journey!  5ABzq6UCuj4x2WecA6XbJhKiYugLMABnPsjdTzBAGWTR,Verified account
@UlanWater,2QNsysQj3Nsnds4KrDwC3HrvKx6JdKNH7UeWu2WXvtEC,0.0000,0,Unknown,No,0,LOW,False,2026-08-11 17:12:00,For being a Supporter of $ANSEM I will HODL it @RadTrades_ .  2QNsysQj3Nsnds4KrDwC3HrvKx6JdKNH7UeWu2WXvtEC,
@MystiqueTh9831,AQN17mLMvFJdGGsrgecuYn9zRunr5ozVctPyGR7HEPi8,0.0000,31,2025-07-18 16:54:25,No,0,LOW,False,2026-08-11 17:47:00,AQN17mLMvFJdGGsrgecuYn9zRunr5ozVctPyGR7HEPi8  I hope I get this $ANSEM,
@ArchieHigins_06,H1JQFgjSw1ZVtNB9bmWf8dCJyFhXdvhWsZfS1XmbULsc,0.0000,0,Unknown,No,0,LOW,False,2026-08-11 18:41:00,H1JQFgjSw1ZVtNB9bmWf8dCJyFhXdvhWsZfS1XmbULsc  Thanks for the giveaways,
@4chainz_z,7MwZnZLFkfWdWdqwcvWRrS6SU8fZtPk8apvxaYgQCQjT,0.0113,100,2026-05-07 04:30:20,Yes,0,LOW,False,2026-08-11 17:01:00,7MwZnZLFkfWdWdqwcvWRrS6SU8fZtPk8apvxaYgQCQjT,
@VeryRuthlesss,hMLe1SNeqoTfdszFD2fJFtrf1DNQvoKdjn2zLhYpurC,0.0050,21,2026-04-16 16:56:19,No,0,LOW,True,2026-08-11 17:25:00,hMLe1SNeqoTfdszFD2fJFtrf1DNQvoKdjn2zLhYpurC  Thanks so much King🙏,Verified account
@evikraNtt,6k3NMZcyFh8hE27mnwF23DDJsM9F4F9WNbDpo6bzXQMm,0.0118,2,2026-07-30 02:03:22,No,0,LOW,False,2026-08-11 17:08:00,6k3NMZcyFh8hE27mnwF23DDJsM9F4F9WNbDpo6bzXQMm,
@CaszSarmiento,9cnwhq7xzkcYTgr4cK7jKaHzDN3D1tDHLwEKi2nBL9GD,0.0000,100,2026-07-13 14:03:59,No,0,LOW,True,2026-08-11 20:18:00,When me? Thank you Rad <3   9cnwhq7xzkcYTgr4cK7jKaHzDN3D1tDHLwEKi2nBL9GD,Verified account
@MALWARE_999,J9hLNEBNNyWEtncwBL3WtwPMrt5B4iSPX9kmiiL5Sj5K,0.1445,100,2024-08-04 13:09:04,No,0,LOW,False,2026-08-11 17:06:00,Is this for real? 😯😯😯   Thanks rad ❤️  J9hLNEBNNyWEtncwBL3WtwPMrt5B4iSPX9kmiiL5Sj5K,
@isbburger,9E4JMp9CtRkZLcd1wNQX9G2oikNxA6ZWJAmoRoi3E96P,0.0050,100,2026-02-24 11:15:38,Yes,0,LOW,False,2026-08-11 16:52:00,man Gotta be Me I would really appreciate it holding since 43 days   9E4JMp9CtRkZLcd1wNQX9G2oikNxA6ZWJAmoRoi3E96P,
@vaegarsol,9rRd3rZFW5KYtJ8BGoGwgzn1pVAT6fUHTfVyD5q9TWSq,0.0000,100,2025-08-19 17:31:03,No,0,LOW,False,2026-08-11 16:55:00,9rRd3rZFW5KYtJ8BGoGwgzn1pVAT6fUHTfVyD5q9TWSq,
@Layiszn,CLp9zwKVMdLiw2hgSP2s58Hj4wsvEQdsU5J5wX7xQLTf,0.2638,100,2026-07-30 00:23:58,No,0,LOW,True,2026-08-11 17:05:00,Come clutch for me   CLp9zwKVMdLiw2hgSP2s58Hj4wsvEQdsU5J5wX7xQLTf  Bagworkers here,Verified account
@Paradise_G0,7TAfQsBBUGt53grGtVdNr5NTgDmZ53MosKFVmCFLENHr,0.0000,100,2026-06-28 19:29:39,No,0,LOW,False,2026-08-11 17:04:00,Manifesting bro  7TAfQsBBUGt53grGtVdNr5NTgDmZ53MosKFVmCFLENHr,
@Defibrains,5tPRMedfohAADaGZMnhdCyUn39nz4DEpZwRKJMh9hW8i,0.0000,100,2025-01-23 18:41:49,No,0,LOW,False,2026-08-11 17:09:00,First time seeing your posts but lemme try my luck 🤞  5tPRMedfohAADaGZMnhdCyUn39nz4DEpZwRKJMh9hW8i,
@Lovelineledu,Dkte3EMfiCWRG5nq5StQjYj4R8scdtAxwfCj1wcRH8qs,0.0009,100,2025-08-04 03:09:13,No,0,LOW,False,2026-08-11 16:59:00,Dkte3EMfiCWRG5nq5StQjYj4R8scdtAxwfCj1wcRH8qs   $ANSEM,
@Yuskid22,J45uvVFHzNCNiK2qEHW7nBwfLvDztsS3PSe9QPa2dxVW,0.0021,10,2024-10-28 11:05:10,No,0,LOW,False,2026-08-11 17:22:00,J45uvVFHzNCNiK2qEHW7nBwfLvDztsS3PSe9QPa2dxVW  Let me have this W Boss 💯🙏,
@Arm_strong0x,6H3es6AqX59d1Kda3DxzoYNzLdpWAqX4vabU184jBeSN,0.0010,8,2025-03-28 01:31:13,No,0,LOW,True,2026-08-11 17:00:00,You don't hold enough $ANSEM   Can you change that fam?  6H3es6AqX59d1Kda3DxzoYNzLdpWAqX4vabU184jBeSN,Verified account
@theshoo3,DEe1bCoRNqVNKwigAPzqQ1hgZReG3voU27PkMdG9Qmr9,0.0000,1,2026-07-05 14:23:26,No,0,LOW,False,2026-08-11 17:13:00,DEe1bCoRNqVNKwigAPzqQ1hgZReG3voU27PkMdG9Qmr9,
@vengance24,GdfMjrFLqdo2CVL2uybUE8bgx1vTPzzTN4MpCwGTHnfZ,0.0000,0,Unknown,No,0,LOW,True,2026-08-11 16:43:00,GdfMjrFLqdo2CVL2uybUE8bgx1vTPzzTN4MpCwGTHnfZ  Choose me rad need to hold $SNSEM  i dont want to miss out,Verified account
@webbegginner,2TasfeYZGXk6tdJuBU4qmzjq2UpEPWAaM5zqg8QyJLkW,0.0087,100,2026-07-25 13:33:53,No,0,LOW,True,2026-08-11 16:47:00,2TasfeYZGXk6tdJuBU4qmzjq2UpEPWAaM5zqg8QyJLkW  Been holding since man. Increase my hold,Verified account
@prettyhinata67,4m6b6rdevkqyKJLkSkWVhmdwGnaVCUVLE6yxkCfbjaS2,0.0010,38,2026-08-09 13:51:38,No,0,LOW,True,2026-08-11 16:40:00,You see me 😀   4m6b6rdevkqyKJLkSkWVhmdwGnaVCUVLE6yxkCfbjaS2,Verified account
@Brainybtc,CDmZfpPXv2nqXyQ9QabZkjgVSWGuh47bXRqGnzgSVw1g,0.0034,11,2026-07-10 21:26:59,No,0,LOW,True,2026-08-11 18:26:00,CDmZfpPXv2nqXyQ9QabZkjgVSWGuh47bXRqGnzgSVw1g  First $ANSEM airdrop king,Verified account
@xDayLive8,9apNCFyeEzRKeDZ8wpRZvKh7ig8WuxQo8FJ1mJDiQkEA,0.0000,4,2026-08-08 04:52:04,No,0,LOW,True,2026-08-12 10:43:00,♥️♥️  9apNCFyeEzRKeDZ8wpRZvKh7ig8WuxQo8FJ1mJDiQkEA  Thank You!⭐️:),Verified account
@JayTheWinnerX,CAbKcA4WFra8EHngk3LrcveeoXkd1YNKfKKUkSvngchj,0.0015,100,2025-10-30 04:29:22,No,0,LOW,True,2026-08-12 06:26:00,"Appreciate the consistent energy and the way you actually give back to people supporting you, Rad. Been following the $ANSEM thesis hard the Black Bull narrative, Ansem’s wallet concentration + ongoing distributions, the community takeover angle, and the push toward millions of holders instead of just another short-lived meme. Your recent takes on the sidelined crowd waiting for the breakout and the path outside CT to bigger numbers land clean. Solid work building and sharing alpha while still throwing $100 bags to real supporters.  Here’s mine:  CAbKcA4WFra8EHngk3LrcveeoXkd1YNKfKKUkSvngchj  Respect 🐂",Verified account
@jiggyarc,6Jh7HWgev6ta17nTVyC9rfGwBe2tkJ249vTgozwqrMN7,0.0110,100,2026-06-19 17:11:29,No,0,LOW,True,2026-08-11 16:39:00,ohh thank you rad👏❤️  6Jh7HWgev6ta17nTVyC9rfGwBe2tkJ249vTgozwqrMN7,Verified account
@dfw_Pearls,7wRcoNXjqWuFqrW3ddL5kN4uCJw4d7nbjPRHn9xj887r,0.0100,7,2026-08-11 13:04:45,Yes,0,LOW,True,2026-08-11 19:00:00,7wRcoNXjqWuFqrW3ddL5kN4uCJw4d7nbjPRHn9xj887r  Bless me Rad🙏🏽🙏🏽,Verified account
@SolanaHQ_1,G4resQNunB4Zx5x2A6RhMbxVAvPjcFpm1BHd2cNQVb2y,0.0000,53,2026-01-06 16:51:23,No,0,LOW,True,2026-08-11 18:58:00,Love seeing the support come back around 👀🫶 $100 in $ANSEM for two more people is a solid gesture. Dropping my SOL address and wishing the other entrants good luck too! 🫡🍀  G4resQNunB4Zx5x2A6RhMbxVAvPjcFpm1BHd2cNQVb2y,Verified account
@Manonsol_,Cuoirrt9HoRBywo87ANbAafA7AyUaSfsCbYa6P8BPicF,0.0000,76,2026-05-26 15:34:48,No,0,LOW,True,2026-08-11 17:18:00,I promise to hold till 1b  Cuoirrt9HoRBywo87ANbAafA7AyUaSfsCbYa6P8BPicF,Verified account
@Trixxalt11,F9QWaL1cqPuxc5Szg9qw61CJcAPtmwVHaJZYX4rg5kAL,0.0000,100,2026-06-26 19:26:03,No,0,LOW,True,2026-08-11 21:01:00,Thanks rad F9QWaL1cqPuxc5Szg9qw61CJcAPtmwVHaJZYX4rg5kAL,Verified account
@Lucky_germilbv,5ZJ7dXyx3ha4Cc1C3w9U33HrE5Y6RTCRuMEK5NMdcbC1,0.0020,14,2026-07-15 07:27:39,No,0,LOW,True,2026-08-11 19:36:00,Thanks @RadTrades_   Sol addy 5ZJ7dXyx3ha4Cc1C3w9U33HrE5Y6RTCRuMEK5NMdcbC1,Verified account
@IamtayoT,Hm24nEnb8nERykLyogJxXBfHbaf3vzdPUnXTbB38b8eW,0.0000,100,2026-03-11 11:47:45,No,0,LOW,True,2026-08-12 13:58:00,Hm24nEnb8nERykLyogJxXBfHbaf3vzdPUnXTbB38b8eW  Thank you,Verified account
@breadnbeans01,5xW6PH5JYoTKVZhgHQ8qyUHTmnwSUQLsW9bH81jnKWry,0.0000,6,2026-06-30 18:47:59,No,0,LOW,True,2026-08-11 17:06:00,Would love to add more to my tiny bags. I’m always supporting and bagworking everyday Luke   5xW6PH5JYoTKVZhgHQ8qyUHTmnwSUQLsW9bH81jnKWry,Verified account
@Kryptoguy1_0,S3uaJLE1JyTrSutS39PVxWxJkwvKNcmiKJSzSNkoueP,0.0117,79,2026-07-09 04:02:45,No,0,LOW,True,2026-08-11 16:51:00,Thank you 🙏   S3uaJLE1JyTrSutS39PVxWxJkwvKNcmiKJSzSNkoueP,Verified account
@Ryxxdot,FtuTSRgcSCCD2d1eHbUEURzyXkkv3xkehz8GHhakm7vR,0.0000,100,2026-05-18 17:45:09,No,0,LOW,True,2026-08-11 17:16:00,Thanks rad  FtuTSRgcSCCD2d1eHbUEURzyXkkv3xkehz8GHhakm7vR,Verified account
@Drey6_5,8rRoNsetq1UV58znkbpNxe9zbXtXEfTTWMurzq2VwpZ9,0.0000,27,2026-07-17 09:44:46,No,0,LOW,True,2026-08-11 16:40:00,SOL ADDRESS   8rRoNsetq1UV58znkbpNxe9zbXtXEfTTWMurzq2VwpZ9,Verified account
@Wholashile,7VqXRwTCjZhpinfzFYRWj4BsVxzgwqmXfR1NydLH7QmA,0.0038,100,2025-04-05 14:02:39,No,0,LOW,True,2026-08-11 16:44:00,"I’ve notifications on all the time and I always engage with all of your tweets and all, if you check my page it says it all that I’m a bagworker   7VqXRwTCjZhpinfzFYRWj4BsVxzgwqmXfR1NydLH7QmA",Verified account
@Taofeek2_QBX,5HS4vuwAs5aQYUphWtq154VBMViFGjQANdeMgtufRwbD,0.0000,100,2025-09-24 06:53:36,No,0,LOW,True,2026-08-11 20:58:00,I'm always active and showing up Rad🙌 Let me hold this $ANSEM with diamond limbs 🙌💎🙌  5HS4vuwAs5aQYUphWtq154VBMViFGjQANdeMgtufRwbD,Verified account
@Isagi_barou,H9JfUpVhLruwgZu2CnD4mhpwoaZxPxKGi6GvnDRpmfSY,0.0030,78,2024-09-15 20:25:50,No,0,LOW,True,2026-08-11 19:29:00,"I love when people choose to give back when things are going well for them. It says a lot about the person behind the wins.  I haven't had much luck with giveaways myself, but I'd genuinely appreciate the blessing if you decided to pick me. ❤️  H9JfUpVhLruwgZu2CnD4mhpwoaZxPxKGi6GvnDRpmfSY",Verified account
@Junomode,7cZ4QsN1uZjMyQCJA4pkt5AXR59nPpHkrEBEaQvvodyz,0.0000,100,2025-09-16 14:54:03,No,0,LOW,True,2026-08-11 22:07:00,can juno win ?  7cZ4QsN1uZjMyQCJA4pkt5AXR59nPpHkrEBEaQvvodyz,Verified account
@IzMario2,CGPt9WvLxHtCK6fnfEo93i143ZJkqgvXgSPx8c7K2oeS,0.0013,100,2025-06-09 17:24:13,No,0,LOW,True,2026-08-11 16:39:00,CGPt9WvLxHtCK6fnfEo93i143ZJkqgvXgSPx8c7K2oeS,Verified account
@luckyshaneee,FkJgP73vpq1YYLgT2HdgmTkDNT3xWkp6uKY57fMRErpc,0.0009,8,2026-08-02 01:36:21,No,0,LOW,True,2026-08-11 17:40:00,"hoping to hodl $ANSEM for the first time 🍀🤞 thank you for the chance, legend @RadTrades_! ♥️  FkJgP73vpq1YYLgT2HdgmTkDNT3xWkp6uKY57fMRErpc",Verified account
@Kellyofweb3Alt,FUuzRJjQRVxnLvW6Dfp9k3MVpZZfx9jnTbwQ4NaRMZDr,0.0028,100,2026-06-13 09:00:03,No,0,LOW,True,2026-08-11 18:27:00,Thank you king RadTrades   FUuzRJjQRVxnLvW6Dfp9k3MVpZZfx9jnTbwQ4NaRMZDr  Hook me up with some solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,Verified account
@ganieous,3RHcvEZ4mnLZ48FoH7H4vuzJxUaNFZ1M75mmTKJXwX6G,0.0018,67,2025-07-27 12:51:51,No,0,LOW,True,2026-08-11 17:39:00,Higherrrr $ANSEM  3RHcvEZ4mnLZ48FoH7H4vuzJxUaNFZ1M75mmTKJXwX6G,Verified account
@Lithish1001,DUuGfDM8GXn733YNHvnDz2bjmN3MVwe9FkdaABt5wGG1,0.0049,100,2026-01-27 06:15:22,No,0,LOW,True,2026-08-11 16:44:00,"Been supporting you and $ANSEM from day one 🔥   Always here, always bagholding, always shilling the vision.  DUuGfDM8GXn733YNHvnDz2bjmN3MVwe9FkdaABt5wGG1  Appreciate you giving back king 🐐 @RadTrades_",Verified account
@THEHR0,AtccobeQXiXerfxHb5Th23ixZaymfRfk6AxNpykfPYNr,0.0000,29,2024-04-16 16:18:24,No,0,LOW,True,2026-08-11 17:28:00,AtccobeQXiXerfxHb5Th23ixZaymfRfk6AxNpykfPYNr  Every where $ANSEM Airdrop but I don't get a win 🍀,Verified account
@KayyFund,9sCiPe5em6ZCaXpcWh2uFappViP7gaR3A1qJ9UxXauEd,0.1263,100,2025-07-18 14:17:04,No,0,LOW,True,2026-08-11 17:20:00,"Appreciate you giving back 🔥  9sCiPe5em6ZCaXpcWh2uFappViP7gaR3A1qJ9UxXauEd   Been supporting, would love to be one of the last 2 🙏 solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump",Verified account
@victorrr_077,96oHENUAdPABBtE4jXWZzAo1zKhryAHL6N6F5eLyzSwK,0.0012,4,2026-08-10 11:21:33,No,0,LOW,True,2026-08-11 17:42:00,96oHENUAdPABBtE4jXWZzAo1zKhryAHL6N6F5eLyzSwK   Thank you Rad,Verified account
@mayh3m_33,7nAkPPSkPLi3B24pkH2R2fyqLaPbzfq5t1uN9VB7iGZH,0.1592,100,2026-07-12 15:09:02,No,0,LOW,True,2026-08-11 16:43:00,"Want some, need some   7nAkPPSkPLi3B24pkH2R2fyqLaPbzfq5t1uN9VB7iGZH",Verified account
@OkechukwuSheki1,7ZYVzQvWRzV4S7RswAzytHVSdrXjSA6V6EV3Kn37WjvW,0.0000,100,2026-06-28 07:09:03,No,0,LOW,True,2026-08-12 03:34:00,7ZYVzQvWRzV4S7RswAzytHVSdrXjSA6V6EV3Kn37WjvW  Thanks so much legend for this wonderful opportunity  @RadTrades_ I'm one of your most active chads. I've never won before. This would be my first.  I would be so grateful legend,Verified account
@jaybeeotf,CqVay2ZLm2yMSA8bMcGUMma7ev5P6Fm2Ht6yz3t9dEHC,0.2105,100,2026-07-28 12:41:50,No,0,LOW,True,2026-08-11 16:37:00,CqVay2ZLm2yMSA8bMcGUMma7ev5P6Fm2Ht6yz3t9dEHC,Verified account
@Ade_053,4gRj5E6SCKnLykRLgYeTVEwcu9rbjPQebTj7FHvZaaoc,0.0000,100,2026-08-03 01:26:36,No,0,LOW,True,2026-08-11 18:55:00,4gRj5E6SCKnLykRLgYeTVEwcu9rbjPQebTj7FHvZaaoc   Locked In With u legend,Verified account
