Handle,Wallet,Balance_SOL,Tx_Count,Wallet_Created,Holds_Token,RiskScore,RiskLevel,Verified,Timestamp,Comment,Reasons
@Syntheraioyv,AFHwcq6r8AVhNaJkbPvEneFZpPt9GApBYkxQkN7Fhju9,0.0167,100,2026-03-12 14:13:57,No,0,LOW,True,2026-08-11 21:34:00,For real?  AFHwcq6r8AVhNaJkbPvEneFZpPt9GApBYkxQkN7Fhju9,Verified account
@i_amkingdavo,DXg8PuQwnUF5Y7PWhmMoR6k793Vn1bHccyvP5B8izfdy,0.0050,3,2026-01-30 08:50:10,No,0,LOW,True,2026-08-11 17:12:00,DXg8PuQwnUF5Y7PWhmMoR6k793Vn1bHccyvP5B8izfdy  Thank you Rad <3,Verified account
@rockergandalf,5ABzq6UCuj4x2WecA6XbJhKiYugLMABnPsjdTzBAGWTR,0.1565,100,2026-03-14 15:04:14,No,0,LOW,True,2026-08-11 17:30:00,I'd love to begin my $ANSEM journey!  5ABzq6UCuj4x2WecA6XbJhKiYugLMABnPsjdTzBAGWTR,Verified account
@4chainz_z,7MwZnZLFkfWdWdqwcvWRrS6SU8fZtPk8apvxaYgQCQjT,0.0113,100,2026-05-07 04:30:20,Yes,0,LOW,False,2026-08-11 17:01:00,7MwZnZLFkfWdWdqwcvWRrS6SU8fZtPk8apvxaYgQCQjT,
@VeryRuthlesss,hMLe1SNeqoTfdszFD2fJFtrf1DNQvoKdjn2zLhYpurC,0.0050,21,2026-04-16 16:56:19,No,0,LOW,True,2026-08-11 17:25:00,hMLe1SNeqoTfdszFD2fJFtrf1DNQvoKdjn2zLhYpurC  Thanks so much King🙏,Verified account
@evikraNtt,6k3NMZcyFh8hE27mnwF23DDJsM9F4F9WNbDpo6bzXQMm,0.0118,2,2026-07-30 02:03:22,No,0,LOW,False,2026-08-11 17:08:00,6k3NMZcyFh8hE27mnwF23DDJsM9F4F9WNbDpo6bzXQMm,
@MALWARE_999,J9hLNEBNNyWEtncwBL3WtwPMrt5B4iSPX9kmiiL5Sj5K,0.1445,100,2024-08-04 13:09:04,No,0,LOW,False,2026-08-11 17:06:00,Is this for real? 😯😯😯   Thanks rad ❤️  J9hLNEBNNyWEtncwBL3WtwPMrt5B4iSPX9kmiiL5Sj5K,
@isbburger,9E4JMp9CtRkZLcd1wNQX9G2oikNxA6ZWJAmoRoi3E96P,0.0050,100,2026-02-24 11:15:38,Yes,0,LOW,False,2026-08-11 16:52:00,man Gotta be Me I would really appreciate it holding since 43 days   9E4JMp9CtRkZLcd1wNQX9G2oikNxA6ZWJAmoRoi3E96P,
@Layiszn,CLp9zwKVMdLiw2hgSP2s58Hj4wsvEQdsU5J5wX7xQLTf,0.2638,100,2026-07-30 00:23:58,No,0,LOW,True,2026-08-11 17:05:00,Come clutch for me   CLp9zwKVMdLiw2hgSP2s58Hj4wsvEQdsU5J5wX7xQLTf  Bagworkers here,Verified account
@Lovelineledu,Dkte3EMfiCWRG5nq5StQjYj4R8scdtAxwfCj1wcRH8qs,0.0009,100,2025-08-04 03:09:13,No,0,LOW,False,2026-08-11 16:59:00,Dkte3EMfiCWRG5nq5StQjYj4R8scdtAxwfCj1wcRH8qs   $ANSEM,
@Yuskid22,J45uvVFHzNCNiK2qEHW7nBwfLvDztsS3PSe9QPa2dxVW,0.0021,10,2024-10-28 11:05:10,No,0,LOW,False,2026-08-11 17:22:00,J45uvVFHzNCNiK2qEHW7nBwfLvDztsS3PSe9QPa2dxVW  Let me have this W Boss 💯🙏,
@Arm_strong0x,6H3es6AqX59d1Kda3DxzoYNzLdpWAqX4vabU184jBeSN,0.0010,8,2025-03-28 01:31:13,No,0,LOW,True,2026-08-11 17:00:00,You don't hold enough $ANSEM   Can you change that fam?  6H3es6AqX59d1Kda3DxzoYNzLdpWAqX4vabU184jBeSN,Verified account
@webbegginner,2TasfeYZGXk6tdJuBU4qmzjq2UpEPWAaM5zqg8QyJLkW,0.0087,100,2026-07-25 13:33:53,No,0,LOW,True,2026-08-11 16:47:00,2TasfeYZGXk6tdJuBU4qmzjq2UpEPWAaM5zqg8QyJLkW  Been holding since man. Increase my hold,Verified account
@prettyhinata67,4m6b6rdevkqyKJLkSkWVhmdwGnaVCUVLE6yxkCfbjaS2,0.0010,38,2026-08-09 13:51:38,No,0,LOW,True,2026-08-11 16:40:00,You see me 😀   4m6b6rdevkqyKJLkSkWVhmdwGnaVCUVLE6yxkCfbjaS2,Verified account
@Brainybtc,CDmZfpPXv2nqXyQ9QabZkjgVSWGuh47bXRqGnzgSVw1g,0.0034,11,2026-07-10 21:26:59,No,0,LOW,True,2026-08-11 18:26:00,CDmZfpPXv2nqXyQ9QabZkjgVSWGuh47bXRqGnzgSVw1g  First $ANSEM airdrop king,Verified account
@JayTheWinnerX,CAbKcA4WFra8EHngk3LrcveeoXkd1YNKfKKUkSvngchj,0.0015,100,2025-10-30 04:29:22,No,0,LOW,True,2026-08-12 06:26:00,"Appreciate the consistent energy and the way you actually give back to people supporting you, Rad. Been following the $ANSEM thesis hard the Black Bull narrative, Ansem’s wallet concentration + ongoing distributions, the community takeover angle, and the push toward millions of holders instead of just another short-lived meme. Your recent takes on the sidelined crowd waiting for the breakout and the path outside CT to bigger numbers land clean. Solid work building and sharing alpha while still throwing $100 bags to real supporters.  Here’s mine:  CAbKcA4WFra8EHngk3LrcveeoXkd1YNKfKKUkSvngchj  Respect 🐂",Verified account
@jiggyarc,6Jh7HWgev6ta17nTVyC9rfGwBe2tkJ249vTgozwqrMN7,0.0110,100,2026-06-19 17:11:29,No,0,LOW,True,2026-08-11 16:39:00,ohh thank you rad👏❤️  6Jh7HWgev6ta17nTVyC9rfGwBe2tkJ249vTgozwqrMN7,Verified account
@dfw_Pearls,7wRcoNXjqWuFqrW3ddL5kN4uCJw4d7nbjPRHn9xj887r,0.0100,7,2026-08-11 13:04:45,Yes,0,LOW,True,2026-08-11 19:00:00,7wRcoNXjqWuFqrW3ddL5kN4uCJw4d7nbjPRHn9xj887r  Bless me Rad🙏🏽🙏🏽,Verified account
@Lucky_germilbv,5ZJ7dXyx3ha4Cc1C3w9U33HrE5Y6RTCRuMEK5NMdcbC1,0.0020,14,2026-07-15 07:27:39,No,0,LOW,True,2026-08-11 19:36:00,Thanks @RadTrades_   Sol addy 5ZJ7dXyx3ha4Cc1C3w9U33HrE5Y6RTCRuMEK5NMdcbC1,Verified account
@Kryptoguy1_0,S3uaJLE1JyTrSutS39PVxWxJkwvKNcmiKJSzSNkoueP,0.0117,79,2026-07-09 04:02:45,No,0,LOW,True,2026-08-11 16:51:00,Thank you 🙏   S3uaJLE1JyTrSutS39PVxWxJkwvKNcmiKJSzSNkoueP,Verified account
@Wholashile,7VqXRwTCjZhpinfzFYRWj4BsVxzgwqmXfR1NydLH7QmA,0.0038,100,2025-04-05 14:02:39,No,0,LOW,True,2026-08-11 16:44:00,"I’ve notifications on all the time and I always engage with all of your tweets and all, if you check my page it says it all that I’m a bagworker   7VqXRwTCjZhpinfzFYRWj4BsVxzgwqmXfR1NydLH7QmA",Verified account
@Isagi_barou,H9JfUpVhLruwgZu2CnD4mhpwoaZxPxKGi6GvnDRpmfSY,0.0030,78,2024-09-15 20:25:50,No,0,LOW,True,2026-08-11 19:29:00,"I love when people choose to give back when things are going well for them. It says a lot about the person behind the wins.  I haven't had much luck with giveaways myself, but I'd genuinely appreciate the blessing if you decided to pick me. ❤️  H9JfUpVhLruwgZu2CnD4mhpwoaZxPxKGi6GvnDRpmfSY",Verified account
@IzMario2,CGPt9WvLxHtCK6fnfEo93i143ZJkqgvXgSPx8c7K2oeS,0.0013,100,2025-06-09 17:24:13,No,0,LOW,True,2026-08-11 16:39:00,CGPt9WvLxHtCK6fnfEo93i143ZJkqgvXgSPx8c7K2oeS,Verified account
@luckyshaneee,FkJgP73vpq1YYLgT2HdgmTkDNT3xWkp6uKY57fMRErpc,0.0009,8,2026-08-02 01:36:21,No,0,LOW,True,2026-08-11 17:40:00,"hoping to hodl $ANSEM for the first time 🍀🤞 thank you for the chance, legend @RadTrades_! ♥️  FkJgP73vpq1YYLgT2HdgmTkDNT3xWkp6uKY57fMRErpc",Verified account
@Kellyofweb3Alt,FUuzRJjQRVxnLvW6Dfp9k3MVpZZfx9jnTbwQ4NaRMZDr,0.0028,100,2026-06-13 09:00:03,No,0,LOW,True,2026-08-11 18:27:00,Thank you king RadTrades   FUuzRJjQRVxnLvW6Dfp9k3MVpZZfx9jnTbwQ4NaRMZDr  Hook me up with some solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,Verified account
@ganieous,3RHcvEZ4mnLZ48FoH7H4vuzJxUaNFZ1M75mmTKJXwX6G,0.0018,67,2025-07-27 12:51:51,No,0,LOW,True,2026-08-11 17:39:00,Higherrrr $ANSEM  3RHcvEZ4mnLZ48FoH7H4vuzJxUaNFZ1M75mmTKJXwX6G,Verified account
@Lithish1001,DUuGfDM8GXn733YNHvnDz2bjmN3MVwe9FkdaABt5wGG1,0.0049,100,2026-01-27 06:15:22,No,0,LOW,True,2026-08-11 16:44:00,"Been supporting you and $ANSEM from day one 🔥   Always here, always bagholding, always shilling the vision.  DUuGfDM8GXn733YNHvnDz2bjmN3MVwe9FkdaABt5wGG1  Appreciate you giving back king 🐐 @RadTrades_",Verified account
@KayyFund,9sCiPe5em6ZCaXpcWh2uFappViP7gaR3A1qJ9UxXauEd,0.1263,100,2025-07-18 14:17:04,No,0,LOW,True,2026-08-11 17:20:00,"Appreciate you giving back 🔥  9sCiPe5em6ZCaXpcWh2uFappViP7gaR3A1qJ9UxXauEd   Been supporting, would love to be one of the last 2 🙏 solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump",Verified account
@victorrr_077,96oHENUAdPABBtE4jXWZzAo1zKhryAHL6N6F5eLyzSwK,0.0012,4,2026-08-10 11:21:33,No,0,LOW,True,2026-08-11 17:42:00,96oHENUAdPABBtE4jXWZzAo1zKhryAHL6N6F5eLyzSwK   Thank you Rad,Verified account
@mayh3m_33,7nAkPPSkPLi3B24pkH2R2fyqLaPbzfq5t1uN9VB7iGZH,0.1592,100,2026-07-12 15:09:02,No,0,LOW,True,2026-08-11 16:43:00,"Want some, need some   7nAkPPSkPLi3B24pkH2R2fyqLaPbzfq5t1uN9VB7iGZH",Verified account
@jaybeeotf,CqVay2ZLm2yMSA8bMcGUMma7ev5P6Fm2Ht6yz3t9dEHC,0.2105,100,2026-07-28 12:41:50,No,0,LOW,True,2026-08-11 16:37:00,CqVay2ZLm2yMSA8bMcGUMma7ev5P6Fm2Ht6yz3t9dEHC,Verified account
@0xjayben,5jaD6tHR34QkdwG7sSdkf9cER5WVtUWkFGWrZ5fvbnHy,0.0150,4,2026-07-24 12:26:16,No,0,LOW,True,2026-08-11 17:10:00,I have a question can i win ?   5jaD6tHR34QkdwG7sSdkf9cER5WVtUWkFGWrZ5fvbnHy,Verified account
@Testimony64,FvLgXW8AaH1Gtae6RsxWMduxkBxQkRk9JMmzckRqvtrE,0.1262,100,2026-07-31 10:43:15,No,0,LOW,True,2026-08-11 16:38:00,Thank you Rad   FvLgXW8AaH1Gtae6RsxWMduxkBxQkRk9JMmzckRqvtrE   I can’t be unlucky for 365 days,Verified account
@Ifwpromax,HCXcRmXEnKyos242dVqM9gUMg9UKGd5cVh2RLwcVsqsw,0.0009,100,2025-10-17 20:12:53,No,0,LOW,True,2026-08-11 18:33:00,Thanks Rad  HCXcRmXEnKyos242dVqM9gUMg9UKGd5cVh2RLwcVsqsw,Verified account
@dyktr3nchkid,879K61wn8TpJY6fuSWy6MK9G2WDVgsHARP6WHaEoyByk,0.0020,7,2026-07-29 22:49:35,No,0,LOW,True,2026-08-11 17:48:00,Please 🥺🙏 can I be one of them @RadTrades_  Thank you Sir   879K61wn8TpJY6fuSWy6MK9G2WDVgsHARP6WHaEoyByk,Verified account
@Markofweb3X,Hudkn7zNsdD4LxTKYNeMecQFH2KkwoUxe3EUaCpGJXNw,0.0048,34,2026-07-24 11:21:02,No,0,LOW,True,2026-08-11 17:57:00,Thanks brother   Hudkn7zNsdD4LxTKYNeMecQFH2KkwoUxe3EUaCpGJXNw,Verified account
@Mackxyz9,7kxTr8o3ru343Ues6eKKrr3bXht55eVtJKQmHi9tLw4Q,0.0349,64,2023-12-15 08:00:04,No,0,LOW,True,2026-08-11 17:41:00,My luck get this   7kxTr8o3ru343Ues6eKKrr3bXht55eVtJKQmHi9tLw4Q,Verified account
@gelo_sol418,BxVrMYxTdijGLCu9LzsRJTnH8mdtzdHq6E7L3t4Pb1Zz,0.0143,100,2026-07-09 03:08:38,Yes,0,LOW,True,2026-08-11 21:59:00,hope you see this bro 🙏  thank you  BxVrMYxTdijGLCu9LzsRJTnH8mdtzdHq6E7L3t4Pb1Zz,Verified account
@osmbreh,J92tKTmxycPZQ5J6wftMbhX8fG4CwPpnC9B6PGcfWx7a,0.0009,100,2025-05-07 09:16:00,No,0,LOW,True,2026-08-11 20:42:00,J92tKTmxycPZQ5J6wftMbhX8fG4CwPpnC9B6PGcfWx7a,Verified account
@AmittCrypto,AZmVqcwgrULNd77XJfgtzQTxAymbfuWW9JoxUSv3meHB,0.1433,100,2025-03-06 08:47:34,No,0,LOW,True,2026-08-11 16:55:00,Always supporting you Hook me up Rad  AZmVqcwgrULNd77XJfgtzQTxAymbfuWW9JoxUSv3meHB,Verified account
@THE_MMANUEL,7H4knp1Nxk2xSNZQ8jSCPn9qVcj5PdDS1W8DwwSbNLug,0.0010,40,2026-07-13 05:16:50,No,0,LOW,True,2026-08-11 21:10:00,Been in need of ansem  7H4knp1Nxk2xSNZQ8jSCPn9qVcj5PdDS1W8DwwSbNLug,Verified account
@Zamnoor3,DYiPERTLaRfU2EXUPBX691eorRQt59w9Qu3TDNBQAYnH,0.0376,100,2026-02-19 02:28:06,No,0,LOW,True,2026-08-11 17:45:00,DYiPERTLaRfU2EXUPBX691eorRQt59w9Qu3TDNBQAYnH,Verified account
@Shevoxx,7BT2MLvEEenfoPw1W8P6v1fA7VTEc3DzZgoURygFSVB8,0.0010,17,2025-11-18 22:52:13,No,0,LOW,True,2026-08-11 17:09:00,7BT2MLvEEenfoPw1W8P6v1fA7VTEc3DzZgoURygFSVB8,Verified account
@ishow_ola01,91iXMfpVikQzJd6UKXU5HENuJLPk8YTECXYmtswzZohP,0.0011,5,2026-04-23 07:28:55,No,0,LOW,True,2026-08-11 16:39:00,91iXMfpVikQzJd6UKXU5HENuJLPk8YTECXYmtswzZohP,Verified account
@zeig39042,CuCc2KyK21aK7yuxVjA9yNHpLYK5YhJMyDnsF4j5kat3,0.0062,5,2026-08-09 23:36:00,No,0,LOW,True,2026-08-11 18:07:00,CuCc2KyK21aK7yuxVjA9yNHpLYK5YhJMyDnsF4j5kat3,Verified account
@ViktorX_IJD,CuK6UFzEJwMXTQqFYWN3VbPvsQkz2zpU1ngbFXLadKtj,2.0217,100,2026-07-03 08:11:57,Yes,0,LOW,True,2026-08-11 16:39:00,Thank you   CuK6UFzEJwMXTQqFYWN3VbPvsQkz2zpU1ngbFXLadKtj,Verified account
@loxdotsol,GvmkJNRmhgNWy5revZNxU4KFy1YZH1a1ZdVRnkT14GEr,0.0010,100,2026-07-29 12:33:10,No,20,LOW,True,2026-08-11 16:39:00,Hey Rad  Haven’t won for you before  I’m a bagworker   Any chance winning?   GvmkJNRmhgNWy5revZNxU4KFy1YZH1a1ZdVRnkT14GEr,Wallet submitted 2 times by the same account | Handle commented 2 times | Verified account
@Praisewilldoit,J7xV2j6rokVsonqxojxwEGntXwGPbBS3yht9FbnvH215,0.0009,100,2026-05-26 13:02:47,No,0,LOW,True,2026-08-11 23:23:00,Thank you   J7xV2j6rokVsonqxojxwEGntXwGPbBS3yht9FbnvH215,Verified account
@marley_web3,2w2dmxnv6xu6T93ahzFh2iQQK7bbkzvQQdkHaxFCcn7B,0.0009,6,2026-08-08 07:50:30,No,0,LOW,True,2026-08-11 17:05:00,2w2dmxnv6xu6T93ahzFh2iQQK7bbkzvQQdkHaxFCcn7B,Verified account
@StevenAde_,3385b1DK7V8RKT5gBR2TyjWDaiaGQJAh3zfpUhtjNyxb,0.0010,82,2026-02-04 14:40:59,No,0,LOW,True,2026-08-11 16:44:00,Thank you Chad  3385b1DK7V8RKT5gBR2TyjWDaiaGQJAh3zfpUhtjNyxb,Verified account
@mightyman1111,ELT58jSpZy9yhNv6GBUG1DsxUZ8quyjNDcieC3bruRYu,0.0432,30,2025-02-21 09:05:22,Yes,0,LOW,False,2026-08-11 17:38:00,ELT58jSpZy9yhNv6GBUG1DsxUZ8quyjNDcieC3bruRYu,
@Trading_Tort,9VPMyVhFg7i413wqH3HCTThgjS4oK2kABicfGqZ14A1d,0.0684,100,2026-08-04 02:24:19,Yes,0,LOW,True,2026-08-11 17:41:00,9VPMyVhFg7i413wqH3HCTThgjS4oK2kABicfGqZ14A1d,Verified account
@SkipperXI,F2nG72HzC8spHjYr8RwoRVhTMexLTtGBUwiiPDRt5eJ2,0.0050,48,2026-06-03 04:33:50,No,0,LOW,True,2026-08-11 16:42:00,F2nG72HzC8spHjYr8RwoRVhTMexLTtGBUwiiPDRt5eJ2,Verified account
@AdamXMeta,BXG2hvBXTaV5jiXxxPU56mwSXZvcCpnQj6Ri1i9KJRbg,0.0062,100,2026-01-24 03:09:47,No,0,LOW,True,2026-08-11 16:57:00,Appreciate you sharing the wealth @RadTrades_ 🙏🏾  Been watching $ANSEM since the early days and would love to add some to the bag.  BXG2hvBXTaV5jiXxxPU56mwSXZvcCpnQj6Ri1i9KJRbg,Verified account
@Stylocy,GJQjUiz11a4E9rxrYXgywGKb6mu7Bdz2muyS9Kpj46U4,0.0049,6,2026-06-16 11:28:21,No,0,LOW,True,2026-08-12 05:47:00,I'm here red.   GJQjUiz11a4E9rxrYXgywGKb6mu7Bdz2muyS9Kpj46U4,Verified account
@creedmotion,2TnwF75CAGnpUqoTPfk1Cc3arSvvK1LThDdwXSnEWn8y,0.0009,100,2025-11-04 05:37:41,Yes,0,LOW,True,2026-08-11 16:40:00,nitter.net/creedmotion/status/208…  4th time trying  been holding $ansem for 40 plus days now  would be great if i get to win   thank you @RadTrades_  2TnwF75CAGnpUqoTPfk1Cc3arSvvK1LThDdwXSnEWn8y,Verified account
@CadelAndri,728ZoK6SpFh8z5zYBYFMBskAnoUSHJyG3S9AvZpTk7ub,0.0009,100,2026-04-08 16:03:53,No,0,LOW,True,2026-08-11 18:19:00,"728ZoK6SpFh8z5zYBYFMBskAnoUSHJyG3S9AvZpTk7ub  Good luck everyone, manifesting a first win",Verified account
@0xMichiX,ByDvtub4iimiEwTwfHxapFcJZwnB2JwYByRYKaiRN4Aa,0.2495,100,2026-08-03 14:44:31,No,0,LOW,True,2026-08-11 16:49:00,Wish me luck🤲  ByDvtub4iimiEwTwfHxapFcJZwnB2JwYByRYKaiRN4Aa,Verified account
@AUGUSTUS0000000,9dNFfwYwmkK8chPndm3Fd4Vu7RAK9wMcykL9xc8rYw8G,0.0009,54,2026-04-18 15:46:42,No,0,LOW,True,2026-08-11 16:49:00,9dNFfwYwmkK8chPndm3Fd4Vu7RAK9wMcykL9xc8rYw8G,Verified account
@Z4RIYUH,5APgHGzexn8bSMPPHWRDrRU3bwTu2mW3xcDMGnwL7XMX,0.2511,100,2025-08-14 11:08:45,Yes,0,LOW,True,2026-08-11 16:37:00,MEEEEE 5APgHGzexn8bSMPPHWRDrRU3bwTu2mW3xcDMGnwL7XMX,Verified account
@malleyarc,BLHEkTVWTLAu2194HFBNovtW7W26kumaEXmAsRXfiHjS,0.1179,100,2026-06-26 14:54:26,No,0,LOW,True,2026-08-11 20:11:00,"Been supporting for a while, will I ever get a win? 🥹  BLHEkTVWTLAu2194HFBNovtW7W26kumaEXmAsRXfiHjS   Thank you",Verified account
@maranathaP2023,7zYLxtiXEtTuvXGDkiLfQAHLYiRZdPU3p7ptiKfpqPvc,0.0797,100,2026-04-29 05:34:32,No,0,LOW,True,2026-08-11 17:04:00,Let's have it  7zYLxtiXEtTuvXGDkiLfQAHLYiRZdPU3p7ptiKfpqPvc,Verified account
@Womanempowerm10,J17E1dz7bKMdzgHeXQE5BgdhizCM7e6NYYZwmRde7vQT,0.0161,100,2026-05-02 05:43:23,Yes,0,LOW,True,2026-08-11 20:20:00,J17E1dz7bKMdzgHeXQE5BgdhizCM7e6NYYZwmRde7vQT,Verified account
@MikeEze18,ZZTydia2vmLp9PhjxpeQwhte2sCNJ7ot7WhH3dCcY3C,0.0165,100,2025-10-31 03:21:53,No,0,LOW,True,2026-08-11 21:57:00,"Appreciate you immensely Rad 🤍 feeling like today is the day u will bless me @RadTrades_ $ANSEM   Never won from you king, been here for long now. An OG in this space..   $ANSEM TO THE WORLD 🚀  ZZTydia2vmLp9PhjxpeQwhte2sCNJ7ot7WhH3dCcY3C",Verified account
@DayoWeb3_,Az5jxe256Ekf6QCJfkTBzxeLawd1gWaHtt5yFFVRm3Wv,0.0035,100,2026-05-01 05:16:33,No,0,LOW,True,2026-08-11 20:19:00,Az5jxe256Ekf6QCJfkTBzxeLawd1gWaHtt5yFFVRm3Wv   @iwilljeet   Thank you legend,Verified account
@helloramses,FTEcd88ZzGbftLCn7uVHg6nr9Np1uUvUFjN9mEepQU3F,0.0740,65,2026-07-25 06:20:05,No,0,LOW,True,2026-08-12 03:20:00,FTEcd88ZzGbftLCn7uVHg6nr9Np1uUvUFjN9mEepQU3F  Thanks Rad Can I be lucky,Verified account
@wealthy_ladd,CUp1SBmosTfHMP63Qi8RKRCqMv2rcv86M288ZrmyuBKv,0.0354,100,2026-04-08 10:23:01,No,0,LOW,True,2026-08-11 16:46:00,Hii  CUp1SBmosTfHMP63Qi8RKRCqMv2rcv86M288ZrmyuBKv,Verified account
@Millxbt,H6FN9yEreqCAdpaej4gMyZULYuu7uqerLM6sxdnzhTTT,0.0100,100,2026-04-22 00:38:33,No,0,LOW,True,2026-08-11 16:59:00,Bless me rad  H6FN9yEreqCAdpaej4gMyZULYuu7uqerLM6sxdnzhTTT,Verified account
@rukogin,421VWqcr8Dam41z8BoA7Yn5G7unLKsWBWyLu4YiRdAjJ,0.0130,7,2025-12-09 08:08:12,No,0,LOW,True,2026-08-12 05:41:00,421VWqcr8Dam41z8BoA7Yn5G7unLKsWBWyLu4YiRdAjJ,Verified account
@Harlomodolars,52NJMmFY2rwTwzt16Liv16cbYZLnWiqedkiDBLDE8biA,0.0500,3,2025-01-12 04:47:22,No,0,LOW,True,2026-08-11 17:22:00,52NJMmFY2rwTwzt16Liv16cbYZLnWiqedkiDBLDE8biA  Always in Support,Verified account
@Bagwoker,AYQ2k42NtroY64wQ4qHQAy4kuJwp2UFY768MEWxJi8Jj,0.0010,100,2026-08-01 19:24:11,No,0,LOW,True,2026-08-11 16:38:00,"Been trying for a while, fingers crossed this time Your support would really help me out. Goat  Bless me, I’ve always be loyal to you. Remember me  AYQ2k42NtroY64wQ4qHQAy4kuJwp2UFY768MEWxJi8Jj",Verified account
@Maverick_is_bac,3UsY4RWXKcuquvUYHoCTy9HGpunMaNGmo2Lz31VuoTLi,0.0129,46,2026-07-16 10:08:18,No,0,LOW,True,2026-08-11 17:57:00,"Hi @RadTrades_ , Honestly, I don’t even know what to say to convince you to pick me But I’m going to give it my best shot. Hopefully this one is mine 🤞  3UsY4RWXKcuquvUYHoCTy9HGpunMaNGmo2Lz31VuoTLi",Verified account
