Handle,Wallet,IsVerified,TweetTimestamp,CommentText,TweetURL
"@organicryptoyyc","C4ywHK4KzM3acJv7igwfk4ddi77oUhBinZ2N8tuVEk1z","TRUE","2026-08-12T01:43:00.000Z","C4ywHK4KzM3acJv7igwfk4ddi77oUhBinZ2N8tuVEk1z Gave ya a follow fren",""
"@silentmonrch","44h6hZN9a5HimACyCTVc4fgDZctVGosEAbTvk5ptrCQU","TRUE","2026-08-11T17:03:00.000Z","Is a newbie Eligible to hold $ANSEM?   44h6hZN9a5HimACyCTVc4fgDZctVGosEAbTvk5ptrCQU",""
"@Aventis7","7LE6tF5jAwX8C5fYQNWPZXzZcWbzToCoMczHFHstqD4M","TRUE","2026-08-11T20:19:00.000Z","7LE6tF5jAwX8C5fYQNWPZXzZcWbzToCoMczHFHstqD4M",""
"@Browmsky","EJMnF5MMkVqTA2f64biCPE8LwMMpWYgarLsjr9jm74e9","TRUE","2026-08-11T16:58:00.000Z","imagineeeee, I'll keep dreaming   EJMnF5MMkVqTA2f64biCPE8LwMMpWYgarLsjr9jm74e9",""
"@FridjofMenting","7vfk4zN8zTvUs9kdartXLJywNTL3WaSvjHF1aL2f2mkt","TRUE","2026-08-11T16:50:00.000Z","7vfk4zN8zTvUs9kdartXLJywNTL3WaSvjHF1aL2f2mkt $ANSEM time",""
"@Lingard010","FFAq76erc5eBK4peZKjFjJwV5DHpFUjxVF5L2BdRBNQ3","TRUE","2026-08-11T16:46:00.000Z","If luck is a numbers game, I’m definitely putting in the reps  FFAq76erc5eBK4peZKjFjJwV5DHpFUjxVF5L2BdRBNQ3",""
"@dasaniCR","EowmiXvP33byMSYHuvp35sNCUbWhn2XgQoV99j4qGJvq","FALSE","2026-08-11T16:51:00.000Z","EowmiXvP33byMSYHuvp35sNCUbWhn2XgQoV99j4qGJvq",""
"@bhanupartapsinh","BhR4H3Lm1P3ZtEvk4HsBcs5baUJCCVhbCPB9a716ZPue","FALSE","2026-08-11T17:03:00.000Z","Hoping BhR4H3Lm1P3ZtEvk4HsBcs5baUJCCVhbCPB9a716ZPue",""
"@starnutss","HGR14kfumxaqNXUM2Kp2e2G47HFSjT45pXHCpsiy1dtc","TRUE","2026-08-11T17:08:00.000Z","thank you goat  HGR14kfumxaqNXUM2Kp2e2G47HFSjT45pXHCpsiy1dtc  Never held any ansem",""
"@Willlyy11","7Vk43bDRWduxfK5Mpx6LR8a3fV2TjY86DPD7SRRHu94Z","TRUE","2026-08-11T17:07:00.000Z","7Vk43bDRWduxfK5Mpx6LR8a3fV2TjY86DPD7SRRHu94Z   Thank you Rad",""
"@Belloagain","EpW3xpQ73UjdkTuc1S8n2UwUsTxyEJPzKvQ1fAJ4ztwK","TRUE","2026-08-11T20:25:00.000Z","Didn't get any airdrop from Ansem  Maybe you'd make my wish come true   EpW3xpQ73UjdkTuc1S8n2UwUsTxyEJPzKvQ1fAJ4ztwK",""
"@Nybuzi","3eR5fGhimtPoykjuJmyqgGiH9uPivS8EXFnA3tduPsDZ","TRUE","2026-08-11T17:09:00.000Z","3eR5fGhimtPoykjuJmyqgGiH9uPivS8EXFnA3tduPsDZ",""
"@siennapo1","J7o1vryhC4d9gHVFkspjsBGuSpgytNkvEtDt26LLpCiZ","FALSE","2026-08-11T17:46:00.000Z","Waking up every day like:  “Please God… let today be the day I finally win   J7o1vryhC4d9gHVFkspjsBGuSpgytNkvEtDt26LLpCiZ",""
"@Vickysolarchive","A6zwfSa9NhCWCdfc3JpvsvCy4rhzpEzMw4gnjaQCmoE7","TRUE","2026-08-11T16:38:00.000Z","A6zwfSa9NhCWCdfc3JpvsvCy4rhzpEzMw4gnjaQCmoE7   Thank you so much❤️",""
"@____danerous__","AEfRQFaUjoYit274CrdGT5dpw6jcu7VojLEaCewpRYHM","FALSE","2026-08-11T17:26:00.000Z","AEfRQFaUjoYit274CrdGT5dpw6jcu7VojLEaCewpRYHM  Thanks legend 🙏 🙌🏾",""
"@mastaeagle","3jWxWgXDnWA8dazRkaLQAJaNDsyAEMB1EycNKb6g6NNC","TRUE","2026-08-11T17:09:00.000Z","3jWxWgXDnWA8dazRkaLQAJaNDsyAEMB1EycNKb6g6NNC",""
"@whuttttzzz","KeedNxkMGYYmWiabStWmkrnaG6CR12xjZNY2QZEETp9","TRUE","2026-08-11T17:35:00.000Z","KeedNxkMGYYmWiabStWmkrnaG6CR12xjZNY2QZEETp9",""
"@Syntheraioyv","AFHwcq6r8AVhNaJkbPvEneFZpPt9GApBYkxQkN7Fhju9","TRUE","2026-08-11T21:34:00.000Z","For real?  AFHwcq6r8AVhNaJkbPvEneFZpPt9GApBYkxQkN7Fhju9",""
"@Saouristas2024","CPRhxMgjw1ouMjXCcZN8cP7nvwKenHWvL547HxutHJmS","FALSE","2026-08-11T21:36:00.000Z","CPRhxMgjw1ouMjXCcZN8cP7nvwKenHWvL547HxutHJmS",""
"@afeez_olabisi","A3vbusS75GDVWM9qecsNwHn6wkhip3gST21YwLty3oRB","TRUE","2026-08-11T17:12:00.000Z","A3vbusS75GDVWM9qecsNwHn6wkhip3gST21YwLty3oRB  Thanks in anticipation, Rad. 🙏",""
"@SirSea420","9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump","FALSE","2026-08-11T18:41:00.000Z","May I hold some solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump   BfS7udQwoNktH7wXp1yTFgaSC4erqdB7C9KhsJgqevSt",""
"@i_amkingdavo","DXg8PuQwnUF5Y7PWhmMoR6k793Vn1bHccyvP5B8izfdy","TRUE","2026-08-11T17:12:00.000Z","DXg8PuQwnUF5Y7PWhmMoR6k793Vn1bHccyvP5B8izfdy  Thank you Rad <3",""
"@BlakStatus","AuRqSebv5hSFgKQkiqhHkBzbqQ1B6BbqrsfMYVgq4zp1","FALSE","2026-08-11T17:29:00.000Z","AuRqSebv5hSFgKQkiqhHkBzbqQ1B6BbqrsfMYVgq4zp1  Thanks man🫡 Really appreciate",""
"@rockergandalf","5ABzq6UCuj4x2WecA6XbJhKiYugLMABnPsjdTzBAGWTR","TRUE","2026-08-11T17:30:00.000Z","I'd love to begin my $ANSEM journey!  5ABzq6UCuj4x2WecA6XbJhKiYugLMABnPsjdTzBAGWTR",""
"@UlanWater","2QNsysQj3Nsnds4KrDwC3HrvKx6JdKNH7UeWu2WXvtEC","FALSE","2026-08-11T17:12:00.000Z","For being a Supporter of $ANSEM I will HODL it @RadTrades_ .  2QNsysQj3Nsnds4KrDwC3HrvKx6JdKNH7UeWu2WXvtEC",""
"@MystiqueTh9831","AQN17mLMvFJdGGsrgecuYn9zRunr5ozVctPyGR7HEPi8","FALSE","2026-08-11T17:47:00.000Z","AQN17mLMvFJdGGsrgecuYn9zRunr5ozVctPyGR7HEPi8  I hope I get this $ANSEM",""
"@ArchieHigins_06","H1JQFgjSw1ZVtNB9bmWf8dCJyFhXdvhWsZfS1XmbULsc","FALSE","2026-08-11T18:41:00.000Z","H1JQFgjSw1ZVtNB9bmWf8dCJyFhXdvhWsZfS1XmbULsc  Thanks for the giveaways",""
"@DelnFin","5QXsCtdbnnwDpjRgKRyT1jQjuNPv8Kyc8gSnfkr1uH59","FALSE","2026-08-11T17:19:00.000Z","I dont have $Ansem yet but if I have one I will hodl it till it reach million holders💜  5QXsCtdbnnwDpjRgKRyT1jQjuNPv8Kyc8gSnfkr1uH59",""
"@4chainz_z","7MwZnZLFkfWdWdqwcvWRrS6SU8fZtPk8apvxaYgQCQjT","FALSE","2026-08-11T17:01:00.000Z","7MwZnZLFkfWdWdqwcvWRrS6SU8fZtPk8apvxaYgQCQjT",""
"@VeryRuthlesss","hMLe1SNeqoTfdszFD2fJFtrf1DNQvoKdjn2zLhYpurC","TRUE","2026-08-11T17:25:00.000Z","hMLe1SNeqoTfdszFD2fJFtrf1DNQvoKdjn2zLhYpurC  Thanks so much King🙏",""
"@evikraNtt","6k3NMZcyFh8hE27mnwF23DDJsM9F4F9WNbDpo6bzXQMm","FALSE","2026-08-11T17:08:00.000Z","6k3NMZcyFh8hE27mnwF23DDJsM9F4F9WNbDpo6bzXQMm",""
"@CaszSarmiento","9cnwhq7xzkcYTgr4cK7jKaHzDN3D1tDHLwEKi2nBL9GD","TRUE","2026-08-11T20:18:00.000Z","When me? Thank you Rad <3   9cnwhq7xzkcYTgr4cK7jKaHzDN3D1tDHLwEKi2nBL9GD",""
"@MALWARE_999","J9hLNEBNNyWEtncwBL3WtwPMrt5B4iSPX9kmiiL5Sj5K","FALSE","2026-08-11T17:06:00.000Z","Is this for real? 😯😯😯   Thanks rad ❤️  J9hLNEBNNyWEtncwBL3WtwPMrt5B4iSPX9kmiiL5Sj5K",""
"@isbburger","9E4JMp9CtRkZLcd1wNQX9G2oikNxA6ZWJAmoRoi3E96P","FALSE","2026-08-11T16:52:00.000Z","man Gotta be Me I would really appreciate it holding since 43 days   9E4JMp9CtRkZLcd1wNQX9G2oikNxA6ZWJAmoRoi3E96P",""
"@vaegarsol","9rRd3rZFW5KYtJ8BGoGwgzn1pVAT6fUHTfVyD5q9TWSq","FALSE","2026-08-11T16:55:00.000Z","9rRd3rZFW5KYtJ8BGoGwgzn1pVAT6fUHTfVyD5q9TWSq",""
"@Layiszn","CLp9zwKVMdLiw2hgSP2s58Hj4wsvEQdsU5J5wX7xQLTf","TRUE","2026-08-11T17:05:00.000Z","Come clutch for me   CLp9zwKVMdLiw2hgSP2s58Hj4wsvEQdsU5J5wX7xQLTf  Bagworkers here",""
"@Paradise_G0","7TAfQsBBUGt53grGtVdNr5NTgDmZ53MosKFVmCFLENHr","FALSE","2026-08-11T17:04:00.000Z","Manifesting bro  7TAfQsBBUGt53grGtVdNr5NTgDmZ53MosKFVmCFLENHr",""
"@Defibrains","5tPRMedfohAADaGZMnhdCyUn39nz4DEpZwRKJMh9hW8i","FALSE","2026-08-11T17:09:00.000Z","First time seeing your posts but lemme try my luck 🤞  5tPRMedfohAADaGZMnhdCyUn39nz4DEpZwRKJMh9hW8i",""
"@Lovelineledu","Dkte3EMfiCWRG5nq5StQjYj4R8scdtAxwfCj1wcRH8qs","FALSE","2026-08-11T16:59:00.000Z","Dkte3EMfiCWRG5nq5StQjYj4R8scdtAxwfCj1wcRH8qs   $ANSEM",""
"@Yuskid22","J45uvVFHzNCNiK2qEHW7nBwfLvDztsS3PSe9QPa2dxVW","FALSE","2026-08-11T17:22:00.000Z","J45uvVFHzNCNiK2qEHW7nBwfLvDztsS3PSe9QPa2dxVW  Let me have this W Boss 💯🙏",""
"@Arm_strong0x","6H3es6AqX59d1Kda3DxzoYNzLdpWAqX4vabU184jBeSN","TRUE","2026-08-11T17:00:00.000Z","You don't hold enough $ANSEM   Can you change that fam?  6H3es6AqX59d1Kda3DxzoYNzLdpWAqX4vabU184jBeSN",""
"@theshoo3","DEe1bCoRNqVNKwigAPzqQ1hgZReG3voU27PkMdG9Qmr9","FALSE","2026-08-11T17:13:00.000Z","DEe1bCoRNqVNKwigAPzqQ1hgZReG3voU27PkMdG9Qmr9",""
"@vengance24","GdfMjrFLqdo2CVL2uybUE8bgx1vTPzzTN4MpCwGTHnfZ","TRUE","2026-08-11T16:43:00.000Z","GdfMjrFLqdo2CVL2uybUE8bgx1vTPzzTN4MpCwGTHnfZ  Choose me rad need to hold $SNSEM  i dont want to miss out",""
"@webbegginner","2TasfeYZGXk6tdJuBU4qmzjq2UpEPWAaM5zqg8QyJLkW","TRUE","2026-08-11T16:47:00.000Z","2TasfeYZGXk6tdJuBU4qmzjq2UpEPWAaM5zqg8QyJLkW  Been holding since man. Increase my hold",""
"@prettyhinata67","4m6b6rdevkqyKJLkSkWVhmdwGnaVCUVLE6yxkCfbjaS2","TRUE","2026-08-11T16:40:00.000Z","You see me 😀   4m6b6rdevkqyKJLkSkWVhmdwGnaVCUVLE6yxkCfbjaS2",""
"@Brainybtc","CDmZfpPXv2nqXyQ9QabZkjgVSWGuh47bXRqGnzgSVw1g","TRUE","2026-08-11T18:26:00.000Z","CDmZfpPXv2nqXyQ9QabZkjgVSWGuh47bXRqGnzgSVw1g  First $ANSEM airdrop king",""
"@xDayLive8","9apNCFyeEzRKeDZ8wpRZvKh7ig8WuxQo8FJ1mJDiQkEA","TRUE","2026-08-12T10:43:00.000Z","♥️♥️  9apNCFyeEzRKeDZ8wpRZvKh7ig8WuxQo8FJ1mJDiQkEA  Thank You!⭐️:)",""
"@JayTheWinnerX","CAbKcA4WFra8EHngk3LrcveeoXkd1YNKfKKUkSvngchj","TRUE","2026-08-12T06:26:00.000Z","Appreciate the consistent energy and the way you actually give back to people supporting you, Rad. Been following the $ANSEM thesis hard the Black Bull narrative, Ansem’s wallet concentration + ongoing distributions, the community takeover angle, and the push toward millions of holders instead of just another short-lived meme. Your recent takes on the sidelined crowd waiting for the breakout and the path outside CT to bigger numbers land clean. Solid work building and sharing alpha while still throwing $100 bags to real supporters.  Here’s mine:  CAbKcA4WFra8EHngk3LrcveeoXkd1YNKfKKUkSvngchj  Respect 🐂",""
"@jiggyarc","6Jh7HWgev6ta17nTVyC9rfGwBe2tkJ249vTgozwqrMN7","TRUE","2026-08-11T16:39:00.000Z","ohh thank you rad👏❤️  6Jh7HWgev6ta17nTVyC9rfGwBe2tkJ249vTgozwqrMN7",""
"@dfw_Pearls","7wRcoNXjqWuFqrW3ddL5kN4uCJw4d7nbjPRHn9xj887r","TRUE","2026-08-11T19:00:00.000Z","7wRcoNXjqWuFqrW3ddL5kN4uCJw4d7nbjPRHn9xj887r  Bless me Rad🙏🏽🙏🏽",""
"@SolanaHQ_1","G4resQNunB4Zx5x2A6RhMbxVAvPjcFpm1BHd2cNQVb2y","TRUE","2026-08-11T18:58:00.000Z","Love seeing the support come back around 👀🫶 $100 in $ANSEM for two more people is a solid gesture. Dropping my SOL address and wishing the other entrants good luck too! 🫡🍀  G4resQNunB4Zx5x2A6RhMbxVAvPjcFpm1BHd2cNQVb2y",""
"@Manonsol_","Cuoirrt9HoRBywo87ANbAafA7AyUaSfsCbYa6P8BPicF","TRUE","2026-08-11T17:18:00.000Z","I promise to hold till 1b  Cuoirrt9HoRBywo87ANbAafA7AyUaSfsCbYa6P8BPicF",""
"@Trixxalt11","F9QWaL1cqPuxc5Szg9qw61CJcAPtmwVHaJZYX4rg5kAL","TRUE","2026-08-11T21:01:00.000Z","Thanks rad F9QWaL1cqPuxc5Szg9qw61CJcAPtmwVHaJZYX4rg5kAL",""
"@Lucky_germilbv","5ZJ7dXyx3ha4Cc1C3w9U33HrE5Y6RTCRuMEK5NMdcbC1","TRUE","2026-08-11T19:36:00.000Z","Thanks @RadTrades_   Sol addy 5ZJ7dXyx3ha4Cc1C3w9U33HrE5Y6RTCRuMEK5NMdcbC1",""
"@IamtayoT","Hm24nEnb8nERykLyogJxXBfHbaf3vzdPUnXTbB38b8eW","TRUE","2026-08-12T13:58:00.000Z","Hm24nEnb8nERykLyogJxXBfHbaf3vzdPUnXTbB38b8eW  Thank you",""
"@breadnbeans01","5xW6PH5JYoTKVZhgHQ8qyUHTmnwSUQLsW9bH81jnKWry","TRUE","2026-08-11T17:06:00.000Z","Would love to add more to my tiny bags. I’m always supporting and bagworking everyday Luke   5xW6PH5JYoTKVZhgHQ8qyUHTmnwSUQLsW9bH81jnKWry",""
"@Kryptoguy1_0","S3uaJLE1JyTrSutS39PVxWxJkwvKNcmiKJSzSNkoueP","TRUE","2026-08-11T16:51:00.000Z","Thank you 🙏   S3uaJLE1JyTrSutS39PVxWxJkwvKNcmiKJSzSNkoueP",""
"@Ryxxdot","FtuTSRgcSCCD2d1eHbUEURzyXkkv3xkehz8GHhakm7vR","TRUE","2026-08-11T17:16:00.000Z","Thanks rad  FtuTSRgcSCCD2d1eHbUEURzyXkkv3xkehz8GHhakm7vR",""
"@Drey6_5","8rRoNsetq1UV58znkbpNxe9zbXtXEfTTWMurzq2VwpZ9","TRUE","2026-08-11T16:40:00.000Z","SOL ADDRESS   8rRoNsetq1UV58znkbpNxe9zbXtXEfTTWMurzq2VwpZ9",""
"@Wholashile","7VqXRwTCjZhpinfzFYRWj4BsVxzgwqmXfR1NydLH7QmA","TRUE","2026-08-11T16:44:00.000Z","I’ve notifications on all the time and I always engage with all of your tweets and all, if you check my page it says it all that I’m a bagworker   7VqXRwTCjZhpinfzFYRWj4BsVxzgwqmXfR1NydLH7QmA",""
"@Taofeek2_QBX","5HS4vuwAs5aQYUphWtq154VBMViFGjQANdeMgtufRwbD","TRUE","2026-08-11T20:58:00.000Z","I'm always active and showing up Rad🙌 Let me hold this $ANSEM with diamond limbs 🙌💎🙌  5HS4vuwAs5aQYUphWtq154VBMViFGjQANdeMgtufRwbD",""
"@Isagi_barou","H9JfUpVhLruwgZu2CnD4mhpwoaZxPxKGi6GvnDRpmfSY","TRUE","2026-08-11T19:29:00.000Z","I love when people choose to give back when things are going well for them. It says a lot about the person behind the wins.  I haven't had much luck with giveaways myself, but I'd genuinely appreciate the blessing if you decided to pick me. ❤️  H9JfUpVhLruwgZu2CnD4mhpwoaZxPxKGi6GvnDRpmfSY",""
"@Junomode","7cZ4QsN1uZjMyQCJA4pkt5AXR59nPpHkrEBEaQvvodyz","TRUE","2026-08-11T22:07:00.000Z","can juno win ?  7cZ4QsN1uZjMyQCJA4pkt5AXR59nPpHkrEBEaQvvodyz",""
"@IzMario2","CGPt9WvLxHtCK6fnfEo93i143ZJkqgvXgSPx8c7K2oeS","TRUE","2026-08-11T16:39:00.000Z","CGPt9WvLxHtCK6fnfEo93i143ZJkqgvXgSPx8c7K2oeS",""
"@luckyshaneee","FkJgP73vpq1YYLgT2HdgmTkDNT3xWkp6uKY57fMRErpc","TRUE","2026-08-11T17:40:00.000Z","hoping to hodl $ANSEM for the first time 🍀🤞 thank you for the chance, legend @RadTrades_! ♥️  FkJgP73vpq1YYLgT2HdgmTkDNT3xWkp6uKY57fMRErpc",""
"@Kellyofweb3Alt","FUuzRJjQRVxnLvW6Dfp9k3MVpZZfx9jnTbwQ4NaRMZDr","TRUE","2026-08-11T18:27:00.000Z","Thank you king RadTrades   FUuzRJjQRVxnLvW6Dfp9k3MVpZZfx9jnTbwQ4NaRMZDr  Hook me up with some solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump",""
"@ganieous","3RHcvEZ4mnLZ48FoH7H4vuzJxUaNFZ1M75mmTKJXwX6G","TRUE","2026-08-11T17:39:00.000Z","Higherrrr $ANSEM  3RHcvEZ4mnLZ48FoH7H4vuzJxUaNFZ1M75mmTKJXwX6G",""
"@Lithish1001","DUuGfDM8GXn733YNHvnDz2bjmN3MVwe9FkdaABt5wGG1","TRUE","2026-08-11T16:44:00.000Z","Been supporting you and $ANSEM from day one 🔥   Always here, always bagholding, always shilling the vision.  DUuGfDM8GXn733YNHvnDz2bjmN3MVwe9FkdaABt5wGG1  Appreciate you giving back king 🐐 @RadTrades_",""
"@THEHR0","AtccobeQXiXerfxHb5Th23ixZaymfRfk6AxNpykfPYNr","TRUE","2026-08-11T17:28:00.000Z","AtccobeQXiXerfxHb5Th23ixZaymfRfk6AxNpykfPYNr  Every where $ANSEM Airdrop but I don't get a win 🍀",""
"@KayyFund","9sCiPe5em6ZCaXpcWh2uFappViP7gaR3A1qJ9UxXauEd","TRUE","2026-08-11T17:20:00.000Z","Appreciate you giving back 🔥  9sCiPe5em6ZCaXpcWh2uFappViP7gaR3A1qJ9UxXauEd   Been supporting, would love to be one of the last 2 🙏 solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump",""
"@victorrr_077","96oHENUAdPABBtE4jXWZzAo1zKhryAHL6N6F5eLyzSwK","TRUE","2026-08-11T17:42:00.000Z","96oHENUAdPABBtE4jXWZzAo1zKhryAHL6N6F5eLyzSwK   Thank you Rad",""
"@mayh3m_33","7nAkPPSkPLi3B24pkH2R2fyqLaPbzfq5t1uN9VB7iGZH","TRUE","2026-08-11T16:43:00.000Z","Want some, need some   7nAkPPSkPLi3B24pkH2R2fyqLaPbzfq5t1uN9VB7iGZH",""
"@OkechukwuSheki1","7ZYVzQvWRzV4S7RswAzytHVSdrXjSA6V6EV3Kn37WjvW","TRUE","2026-08-12T03:34:00.000Z","7ZYVzQvWRzV4S7RswAzytHVSdrXjSA6V6EV3Kn37WjvW  Thanks so much legend for this wonderful opportunity  @RadTrades_ I'm one of your most active chads. I've never won before. This would be my first.  I would be so grateful legend",""
"@jaybeeotf","CqVay2ZLm2yMSA8bMcGUMma7ev5P6Fm2Ht6yz3t9dEHC","TRUE","2026-08-11T16:37:00.000Z","CqVay2ZLm2yMSA8bMcGUMma7ev5P6Fm2Ht6yz3t9dEHC",""
"@Ade_053","4gRj5E6SCKnLykRLgYeTVEwcu9rbjPQebTj7FHvZaaoc","TRUE","2026-08-11T18:55:00.000Z","4gRj5E6SCKnLykRLgYeTVEwcu9rbjPQebTj7FHvZaaoc   Locked In With u legend",""
"@0xjayben","5jaD6tHR34QkdwG7sSdkf9cER5WVtUWkFGWrZ5fvbnHy","TRUE","2026-08-11T17:10:00.000Z","I have a question can i win ?   5jaD6tHR34QkdwG7sSdkf9cER5WVtUWkFGWrZ5fvbnHy",""
"@Amigo_4l","9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump","TRUE","2026-08-11T22:32:00.000Z","Let’s go win some solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump   need some to add to my bag king   Q4PTsGKXfxV2W24kwbT4Le2Froa1NKSGz7WhNVMkSNe",""
"@Testimony64","FvLgXW8AaH1Gtae6RsxWMduxkBxQkRk9JMmzckRqvtrE","TRUE","2026-08-11T16:38:00.000Z","Thank you Rad   FvLgXW8AaH1Gtae6RsxWMduxkBxQkRk9JMmzckRqvtrE   I can’t be unlucky for 365 days",""
"@GeorgeFaithful6","ExXdd25s9QkFTb1Sxipzy7A5GQq2jnDLn62aykzviJ7Q","TRUE","2026-08-11T17:36:00.000Z","Can i be lucky enough to get a win  Thanks a lot for this opportunity @RadTrades_   ExXdd25s9QkFTb1Sxipzy7A5GQq2jnDLn62aykzviJ7Q",""
"@Ifwpromax","HCXcRmXEnKyos242dVqM9gUMg9UKGd5cVh2RLwcVsqsw","TRUE","2026-08-11T18:33:00.000Z","Thanks Rad  HCXcRmXEnKyos242dVqM9gUMg9UKGd5cVh2RLwcVsqsw",""
"@notspidey192","8iCrZMfGQ6wLTuoznbgCYD1sPiMAtgdLQEfvsmKrJXgG","TRUE","2026-08-11T23:27:00.000Z","Never gonna sell till eternity. Pls onboard me legend. Gonna be so grateful. @RadTrades_  8iCrZMfGQ6wLTuoznbgCYD1sPiMAtgdLQEfvsmKrJXgG",""
"@dyktr3nchkid","879K61wn8TpJY6fuSWy6MK9G2WDVgsHARP6WHaEoyByk","TRUE","2026-08-11T17:48:00.000Z","Please 🥺🙏 can I be one of them @RadTrades_  Thank you Sir   879K61wn8TpJY6fuSWy6MK9G2WDVgsHARP6WHaEoyByk",""
"@Markofweb3X","Hudkn7zNsdD4LxTKYNeMecQFH2KkwoUxe3EUaCpGJXNw","TRUE","2026-08-11T17:57:00.000Z","Thanks brother   Hudkn7zNsdD4LxTKYNeMecQFH2KkwoUxe3EUaCpGJXNw",""
"@ifw_Tobi","5TdqDpiNn5NzkDYKzx5DxKBfK6U2WtBVqrtm33McBtbh","TRUE","2026-08-11T18:54:00.000Z","Hey Rad can I win?  Thank you   5TdqDpiNn5NzkDYKzx5DxKBfK6U2WtBVqrtm33McBtbh",""
"@Stickmanishim","EUVty5Ad5LqfCrGZg2H7JjhNK4FJuMb1xBZLpPHQLiM6","TRUE","2026-08-11T16:40:00.000Z","EUVty5Ad5LqfCrGZg2H7JjhNK4FJuMb1xBZLpPHQLiM6  Can I get airdrop Rad? I’ll really appreciate it",""
"@pupftsx","9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump","TRUE","2026-08-11T16:54:00.000Z","Holding my bags. Hope I will win and this is going to help me in growing my bag.   solana:9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump To Billions thank you  3GrXmxBvZvVgddEatsXzGeEs2wPzz6fSWhMfZQQ5Nv8G",""
